trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
61,0,61,0,5,100.12748540006578,100.12748540006578,0.01626069995108992,[-0.36944444444444446],[0.30277777777777776],[1],[0],[0],[1.445504599949345],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
62,0,62,0,10,101.6099666999653,101.6099666999653,0.030176600092090666,[0.4287037037037037],[-0.20555555555555555],[1],[0],[0],[1.3980818000854924],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
63,0,63,0,5,103.0294916999992,103.0294916999992,0.017655799980275333,[0.08425925925925926],[-0.2074074074074074],[1],[0],[0],[1.162309900042601],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
64,0,64,0,10,104.22966309997719,104.22966309997719,0.03168420004658401,[0.12777777777777777],[0.2722222222222222],[1],[0],[0],[1.4450069000013173],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
65,0,65,0,10,105.70870850002393,105.70870850002393,0.026583399972878397,[-0.12129629629629629],[-0.2324074074074074],[1],[0],[0],[1.434731199988164],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
66,0,66,0,5,107.1600713999942,107.1600713999942,0.015652099973522127,[-0.39814814814814814],[-0.06296296296296296],[1],[0],[0],[1.1292178999865428],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
67,0,67,0,5,108.30707620002795,108.30707620002795,0.014147700043395162,[-0.5009259259259259],[0.11944444444444445],[1],[0],[0],[1.1154956000391394],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
68,0,68,0,10,109.45800450001843,109.45800450001843,0.028019400080665946,[-0.49166666666666664],[0.4546296296296296],[1],[0],[0],[1.333474799990654],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
69,0,69,0,10,110.82856799999718,110.82856799999718,0.03161249996628612,[-0.1648148148148148],[0.1537037037037037],[1],[0],[0],[1.2795340999728069],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
70,0,70,0,5,112.12909140007105,112.12909140007105,0.017485499964095652,[-0.30833333333333335],[0.37407407407407406],[1],[0],[0],[1.1271845999872312],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
71,0,71,0,5,113.28005719999783,113.28005719999783,0.018531000008806586,[0.1962962962962963],[0.475],[1],[0],[0],[1.1429740999592468],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
72,0,72,0,5,114.44844579999335,114.44844579999335,0.020043600001372397,[0.1111111111111111],[0.010185185185185186],[1],[0],[0],[1.0912407001014799],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
73,0,73,0,10,115.57536250003614,115.57536250003614,0.02823019993957132,[-0.20462962962962963],[-0.21481481481481482],[1],[0],[0],[1.2830092000076547],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
74,0,74,0,5,116.88684429996647,116.88684429996647,0.022344499942846596,[-0.3435185185185185],[-0.22962962962962963],[1],[0],[0],[1.1721655000001192],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
75,0,75,0,10,118.090197200072,118.090197200072,0.027601500041782856,[0.46296296296296297],[-0.17037037037037037],[1],[0],[0],[1.9008915000595152],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
76,0,76,0,5,120.01218299998436,120.01218299998436,0.01731539994943887,[0.000925925925925926],[0.2175925925925926],[1],[0],[0],[1.5775697999633849],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
77,0,77,0,10,121.62769039999694,121.62769039999694,0.030335500021465123,[-0.11388888888888889],[-0.42962962962962964],[1],[0],[0],[1.2137573999352753],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
78,0,78,0,10,122.87500200001523,122.87500200001523,0.028798199957236648,[-0.1685185185185185],[0.4388888888888889],[1],[0],[0],[1.1329537000274286],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
79,0,79,0,5,124.02621060004458,124.02621060004458,0.015116199967451394,[-0.3712962962962963],[0.008333333333333333],[1],[0],[0],[1.079582699923776],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
80,0,80,0,10,125.14406670001335,125.14406670001335,0.031062400084920228,[0.09444444444444444],[0.03425925925925926],[1],[0],[0],[1.1470641000196338],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
81,0,81,0,10,126.32327679998707,126.32327679998707,0.02665839996188879,[-0.09722222222222222],[0.23703703703703705],[1],[0],[0],[1.0680886999471113],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
82,0,82,0,10,127.42490950005595,127.42490950005595,0.02882150001823902,[-0.15462962962962962],[-0.03148148148148148],[1],[0],[0],[1.299412599997595],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
83,0,83,0,10,128.75811950000934,128.75811950000934,0.0282407000195235,[0.03611111111111111],[-0.28425925925925927],[1],[0],[0],[1.2163893999531865],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
84,0,84,0,10,130.0069603000302,130.0069603000302,0.027889999910257757,[-0.008333333333333333],[0.2462962962962963],[1],[0],[0],[1.100810799980536],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
85,0,85,0,10,131.14105430000927,131.14105430000927,0.027670699986629188,[0.1175925925925926],[0.23425925925925925],[1],[0],[0],[1.100120999966748],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
86,0,86,0,10,132.2720520000439,132.2720520000439,0.026519899955019355,[0.22037037037037038],[0.31666666666666665],[1],[0],[0],[1.1521867999108508],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
87,0,87,0,10,133.45816829998512,133.45816829998512,0.028748199925757945,[0.18055555555555555],[-0.29907407407407405],[1],[0],[0],[1.3498062000144273],[],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
88,0,88,0,5,134.82884360000025,134.82884360000025,0.017752100015059114,[0.024074074074074074],[-0.4064814814814815],[1],[0],[0],[1.1938414999749511],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
89,0,89,0,10,136.0584036000073,136.0584036000073,0.029081400018185377,[-0.28888888888888886],[-0.10925925925925926],[1],[0],[0],[1.1660581999458373],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
90,0,90,0,10,137.25458030006848,137.25458030006848,0.025429600034840405,[0.02962962962962963],[0.262037037037037],[1],[0],[0],[1.236473000026308],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
